model,train_acc,recall_score,f1_score,confusion_matrix
random_forest_classifier,0.9094255391830612,0.6211927215585807,0.655839139427011,"[[  9150   2418      0]
 [     5 136164      0]
 [     6  12135    951]]"
random_forest_classifier,1.0,1.0,1.0,"[[ 11568      0      0]
 [     0 136169      0]
 [     0      0  13092]]"
random_forest_classifier,0.8783055332067573,0.47792430523581775,0.5277343177161627,"[[  4434   7134      0]
 [     2 136167      0]
 [     0  12431    661]]"
random_forest_classifier,0.8988242207600614,0.5750267492016591,0.5971582343452794,"[[  8321   3247      0]
 [     5 136164      0]
 [     6  13010     76]]"
random_forest_classifier,0.8947142755559607,0.6196989545566195,0.6720582743280925,"[[  3957   7128    483]
 [   846 132851   2472]
 [   879   5125   7088]]"
gradient_boosting_classifier,0.9093074002798266,0.6210158412910681,0.6556766909071775,"[[  9145   2419      4]
 [     5 136161      3]
 [     6  12136    950]]"
gradient_boosting_classifier,1.0,1.0,1.0,"[[ 11568      0      0]
 [     0 136169      0]
 [     0      0  13092]]"
gradient_boosting_classifier,0.8783055332067573,0.47789884439459157,0.5276871044821801,"[[  4434   7134      0]
 [     2 136167      0]
 [     0  12432    660]]"
gradient_boosting_classifier,0.8987869139007728,0.5749114887129546,0.5970766855646686,"[[  8317   3250      1]
 [     5 136164      0]
 [     6  13010     76]]"
gradient_boosting_classifier,0.8947142755559607,0.6196989545566195,0.6720582743280925,"[[  3957   7128    483]
 [   846 132851   2472]
 [   879   5125   7088]]"
ada_boost_classifier,0.6920269253797766,0.37715240584814036,0.3895325896265282,"[[   750  10814      4]
 [     5 136161      3]
 [    12  12207    873]]"
ada_boost_classifier,0.9502515117177535,0.8097099354665799,0.857621639978947,"[[ 11110    458      0]
 [     0 135519    650]
 [     0   6893   6199]]"
ada_boost_classifier,0.8314296313352487,0.39120407043409794,0.40012315400962595,"[[  1888   9680      0]
 [  5448 130721      0]
 [     0  12432    660]]"
ada_boost_classifier,0.8622885774448902,0.4549619640387275,0.48815555515217685,"[[  4221   7347      0]
 [     0 136169      0]
 [    13  13079      0]]"
ada_boost_classifier,0.7717824868911455,0.5638744996684357,0.5464229762660077,"[[  3945   7366    257]
 [   844 112715  22610]
 [   879   5368   6845]]"
bagging_classifier,0.909419321244308,0.621161458497936,0.6558046545609939,"[[  9149   2419      0]
 [     6 136163      0]
 [     6  12135    951]]"
bagging_classifier,1.0,1.0,1.0,"[[ 11568      0      0]
 [     0 136169      0]
 [     0      0  13092]]"
bagging_classifier,0.8783055332067573,0.47792430523581775,0.5277343177161627,"[[  4434   7134      0]
 [     2 136167      0]
 [     0  12431    661]]"
bagging_classifier,0.898818002821308,0.574997934079483,0.5971384484124583,"[[  8320   3247      1]
 [     5 136164      0]
 [     6  13010     76]]"
bagging_classifier,0.8946396626106147,0.6196989545566195,0.6720582743280925,"[[  3957   7128    483]
 [   846 132851   2472]
 [   879   5125   7088]]"
extra_trees_classifier,0.9094255391830612,0.6211927215585807,0.655839139427011,"[[  9150   2418      0]
 [     5 136164      0]
 [     6  12135    951]]"
extra_trees_classifier,1.0,1.0,1.0,"[[ 11568      0      0]
 [     0 136169      0]
 [     0      0  13092]]"
extra_trees_classifier,0.8783055332067573,0.47792430523581775,0.5277343177161627,"[[  4434   7134      0]
 [     2 136167      0]
 [     0  12431    661]]"
extra_trees_classifier,0.8988304385055068,0.5750267492016591,0.5971582343452794,"[[  8321   3247      0]
 [     5 136164      0]
 [     6  13010     76]]"
extra_trees_classifier,0.8947142755559607,0.6196989545566195,0.6720582743280925,"[[  3957   7128    483]
 [   846 132851   2472]
 [   879   5125   7088]]"
